title,store,original_price,current_price,unit_price,unit,image_url
OLĪVAS GREENE ZAĻĀS BEZ KAULIŅIEM 190G,etop.lv,1.89 € - 2.09 €,1.49,7.84,€/kg,https://cdn.etop.lv/products/8697461160576-328x328.png
BIEZPIENS VĀJPIENA FIT! BEZ LAKTOZES 0.5% 400G,etop.lv,,1.99,4.98,€/kg,https://cdn.etop.lv/products/4740036018063-328x328.png
GALDA SALVETES OPĀ PELĒKAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453750-328x328.png
GALDA SALVETES OPĀ ZILAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453767-328x328.png
GALDA SALVETES OPĀ MELNAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453774-328x328.png
GALDA SALVETES OPĀ BRŪNAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453828-328x328.png
GALDA SALVETES OPĀ ROZĀ 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453781-328x328.png
GALDA SALVETES OPĀ DZELTENAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453798-328x328.png
GALDA SALVETES OPĀ ZAĻAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453743-328x328.png
GALDA SALVETES OPĀ BALTAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453736-328x328.png
GALDA SALVETES OPĀ SARKANAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453811-328x328.png
GALDA SALVETES OPĀ VIOLETAS 1PLY 33X33CM 50GAB,etop.lv,,0.99,,,https://cdn.etop.lv/products/4751023453804-328x328.png
VAFELES OPĀ TUMŠĀS AR IEBIEZINĀTĀ PIENA GARŠU 347G,etop.lv,,1.69,4.87,€/kg,https://cdn.etop.lv/products/4538667510236-328x328.png
PIENA ŠOKOLĀDE KARL FAZER AR ROZĪNĒM UN LAZDU RIEKSTIEM 180G,etop.lv,4.69 € - 5.09 €,3.99,22.17,€/kg,https://cdn.etop.lv/products/6416453095120-328x328.png
SIERS VALIO TILSIT 45% SVERAMS,etop.lv,5.69 € - 6.09 €,4.99,,,https://cdn.etop.lv/products/2455316300000-328x328.png
SALDĒJUMS POLS GOTIŅA MULTIPAKA 40GX6,etop.lv,,4.99,,,https://cdn.etop.lv/products/4750025002140-328x328.png
SALDĒJUMS POLS PLOMBĪRS MULTIPAKA 40GX6,etop.lv,,4.99,,,https://cdn.etop.lv/products/4750025001785-328x328.png
